epoch,split,loss_total_mean,loss_standard_mean,loss_scanpath_mean,augweight,num_batches
1,train,0.83654970522851,0.83654970522851,nan,nan,4815
1,eval,4.935240434798291,4.935240434798291,nan,nan,1204
2,train,0.3045594190068896,0.3045594190068896,nan,nan,4815
2,eval,6.151649478166998,6.151649478166998,nan,nan,1204
3,train,0.1804521221847848,0.1804521221847848,nan,nan,4815
3,eval,7.036329053862151,7.036329053862151,nan,nan,1204
4,train,0.13243800997221958,0.13243800997221958,nan,nan,4815
4,eval,7.5860615966724,7.5860615966724,nan,nan,1204
