epoch,split,loss_total_mean,loss_standard_mean,loss_scanpath_mean,augweight,num_batches
1,train,1.520897807838591,1.520897807838591,nan,nan,7875
1,eval,1.4505866250749677,1.4505866250749677,nan,nan,250
2,train,1.0463918194048132,1.0463918194048132,nan,nan,7875
2,eval,1.363253252257593,1.363253252257593,nan,nan,250
3,train,0.9322084543113689,0.9322084543113689,nan,nan,7875
3,eval,1.513597796542803,1.513597796542803,nan,nan,250
4,train,0.8754510285616003,0.8754510285616003,nan,nan,7875
4,eval,1.4689522190315183,1.4689522190315183,nan,nan,250
5,train,0.8395257911470156,0.8395257911470156,nan,nan,7875
5,eval,1.5620136278269348,1.5620136278269348,nan,nan,250
6,train,0.8190582587125934,0.8190582587125934,nan,nan,7875
6,eval,1.3869770277860807,1.3869770277860807,nan,nan,250
7,train,0.8006585640916617,0.8006585640916617,nan,nan,7875
7,eval,1.4139734930528212,1.4139734930528212,nan,nan,250
8,train,0.792054436541016,0.792054436541016,nan,nan,7875
8,eval,1.4981248013231088,1.4981248013231088,nan,nan,250
