epoch,split,loss_total_mean,loss_standard_mean,loss_scanpath_mean,augweight,num_batches
1,train,0.6005610177769417,0.6005610177769417,nan,nan,9630
1,eval,5.881917082045561,5.881917082045561,nan,nan,2408
2,train,0.25855345200094726,0.25855345200094726,nan,nan,9630
2,eval,7.418842219336089,7.418842219336089,nan,nan,2408
3,train,0.16251291112231633,0.16251291112231633,nan,nan,9630
3,eval,8.020099438603138,8.020099438603138,nan,nan,2408
4,train,0.12980722308956721,0.12980722308956721,nan,nan,9630
4,eval,9.19906859530563,9.19906859530563,nan,nan,2408
5,train,0.11652404300271572,0.11652404300271572,nan,nan,9630
5,eval,9.495027590530656,9.495027590530656,nan,nan,2408
6,train,0.09597375002332122,0.09597375002332122,nan,nan,9630
6,eval,9.552326873093348,9.552326873093348,nan,nan,2408
7,train,0.09496429676210925,0.09496429676210925,nan,nan,9630
7,eval,9.778705400386919,9.778705400386919,nan,nan,2408
8,train,0.08968001982784199,0.08968001982784199,nan,nan,9630
8,eval,9.735316374571221,9.735316374571221,nan,nan,2408
9,train,0.07817880592064627,0.07817880592064627,nan,nan,9630
9,eval,9.969776950900341,9.969776950900341,nan,nan,2408
10,train,0.07466030631971768,0.07466030631971768,nan,nan,9630
10,eval,10.2839831218767,10.2839831218767,nan,nan,2408
11,train,0.07421062087583052,0.07421062087583052,nan,nan,9630
11,eval,9.86425727536512,9.86425727536512,nan,nan,2408
12,train,0.06812307892412771,0.06812307892412771,nan,nan,9630
12,eval,10.378125056475897,10.378125056475897,nan,nan,2408
13,train,0.06700622436487139,0.06700622436487139,nan,nan,9630
13,eval,10.175319085485516,10.175319085485516,nan,nan,2408
14,train,0.06359024685903386,0.06359024685903386,nan,nan,9630
14,eval,10.699905711551045,10.699905711551045,nan,nan,2408
15,train,0.06274152228702759,0.06274152228702759,nan,nan,9630
15,eval,9.947650419913257,9.947650419913257,nan,nan,2408
16,train,0.062356539007569135,0.062356539007569135,nan,nan,9630
16,eval,10.31739954496935,10.31739954496935,nan,nan,2408
17,train,0.058812069598837335,0.058812069598837335,nan,nan,9630
17,eval,10.179985603224795,10.179985603224795,nan,nan,2408
18,train,0.05821412730704813,0.05821412730704813,nan,nan,9630
18,eval,10.453361595884907,10.453361595884907,nan,nan,2408
19,train,0.054254174006164266,0.054254174006164266,nan,nan,9630
19,eval,10.418096360277099,10.418096360277099,nan,nan,2408
20,train,0.054413748813346034,0.054413748813346034,nan,nan,9630
20,eval,10.106460834856446,10.106460834856446,nan,nan,2408
