split,step,epoch,loss,learning_rate
eval,16,1.0,0.4207581579685211,
eval,32,2.0,0.42212745547294617,
eval,48,3.0,0.4076360762119293,
eval,64,4.0,0.46881231665611267,
eval,80,5.0,0.5069596767425537,
eval,96,6.0,0.5983333587646484,
eval,112,7.0,0.7065187692642212,
eval,128,8.0,0.8410731554031372,
eval,144,9.0,0.9039204716682434,
eval,160,10.0,0.9483001828193665,
eval,176,11.0,0.9780153632164001,
eval,192,12.0,1.007829189300537,
eval,208,13.0,1.0494468212127686,
eval,224,14.0,1.0666860342025757,
eval,240,15.0,1.0831049680709839,
eval,256,16.0,1.0877108573913574,
eval,272,17.0,1.0941996574401855,
eval,288,18.0,1.0927131175994873,
eval,304,19.0,1.0975078344345093,
eval,320,20.0,1.0988414287567139,
