epoch,split,loss_total_mean,loss_standard_mean,loss_scanpath_mean,augweight,num_batches
1,train,0.776704331081378,0.5924085273853749,3.6859160097402945,0.05,9630
1,eval,6.0774168139478295,5.682907899699338,7.890178302098747,0.05,2408
2,train,0.3100101231042729,0.25003617343633855,1.1994789776244315,0.05,9630
2,eval,7.9277364961134635,7.504964616657095,8.455437503829351,0.05,2408
3,train,0.19299619651650032,0.15781155267108815,0.7036928660398772,0.05,9630
3,eval,8.729036168600633,8.308409691550011,8.412529521507283,0.05,2408
4,train,0.15069000965302476,0.1252545294783424,0.5087095954944549,0.05,9630
4,eval,8.846144515513581,8.421026814320555,8.502354016533722,0.05,2408
5,train,0.12954283818541937,0.1091854234351715,0.4071482891807292,0.05,9630
5,eval,9.837658293520493,9.406363354172818,8.625898874182242,0.05,2408
6,train,0.11045933389999778,0.09380589097665822,0.3330688539235045,0.05,9630
6,eval,9.727828530576142,9.299776782328108,8.561035041991262,0.05,2408
7,train,0.1026524977608293,0.08808014819468736,0.2914469855099139,0.05,9630
7,eval,10.339715208524089,9.903697367225375,8.720356730230623,0.05,2408
8,train,0.09366803418389401,0.08132671879275448,0.2468263036597434,0.05,9630
8,eval,10.1094062421409,9.671625803475363,8.755608782914786,0.05,2408
9,train,0.08495877931748841,0.07408013393157573,0.21757290389112932,0.05,9630
9,eval,9.979249863529523,9.537980647578191,8.82538423565931,0.05,2408
10,train,0.08597755619611218,0.07613809743341653,0.19678917219656833,0.05,9630
10,eval,10.77185653244142,10.326318645992153,8.910757798293105,0.05,2408
11,train,0.07625978605306655,0.06753133017953801,0.1745691151785527,0.05,9630
11,eval,10.881245265965445,10.424813528690624,9.12863476153624,0.05,2408
12,train,0.07400550578223276,0.06616188458631722,0.15687242164979506,0.05,9630
12,eval,10.569355624161686,10.112249449440014,9.142123619583359,0.05,2408
13,train,0.07138305371762228,0.0640274212400013,0.14711264972656005,0.05,9630
13,eval,11.149404926553517,10.685180887431402,9.284480798779136,0.05,2408
14,train,0.06861274511568413,0.06190670600880105,0.13412078059503765,0.05,9630
14,eval,11.035830803685807,10.552228265822528,9.672050799246247,0.05,2408
15,train,0.06552543150410448,0.059345145502997985,0.12360571871928944,0.05,9630
15,eval,10.801026621629234,10.349306486175703,9.034402731150092,0.05,2408
16,train,0.06300883888651133,0.05723589131427426,0.11545895038977476,0.05,9630
16,eval,10.72853346520484,10.261625386749786,9.33816164900298,0.05,2408
17,train,0.06489520702833058,0.05936670696400287,0.1105700004838967,0.05,9630
17,eval,11.07657057502341,10.591148544585586,9.7084403361791,0.05,2408
18,train,0.06049971708689082,0.05541194314128294,0.10175547773606722,0.05,9630
18,eval,10.842019236959096,10.372765917714649,9.38506641419623,0.05,2408
19,train,0.0563431009363954,0.05156414438658297,0.0955791294635514,0.05,9630
19,eval,11.106535651161028,10.62936562458146,9.54340055149259,0.05,2408
20,train,0.05719018162803882,0.052530276103161,0.09319810803451897,0.05,9630
20,eval,10.963458979050582,10.489784374882612,9.473491853257746,0.05,2408
