epoch,lambda_scanpath_t,lambda_scanpath_next,metric_used_for_update,current_scanpath_loss_for_update,initial_scanpath_loss,progress,train_loss_total_mean,train_loss_mlm_mean,train_loss_scanpath_mean,eval_loss_total_mean,eval_loss_mlm_mean,eval_loss_scanpath_mean,warning
1,0.05,0.05,eval_loss_scanpath,7.890178302098747,7.890178302098747,0.0,0.776704331081378,0.5924085273853749,3.6859160097402945,6.0774168139478295,5.682907899699338,7.890178302098747,warmup activo: epoch 1 <= scanpath_weight_warmup_epochs=1; lambda_next queda en scanpath_weight_min.
2,0.05,0.05,eval_loss_scanpath,8.455437503829351,7.890178302098747,0.0,0.3100101231042729,0.25003617343633855,1.1994789776244315,7.9277364961134635,7.504964616657095,8.455437503829351,
3,0.05,0.05,eval_loss_scanpath,8.412529521507283,7.890178302098747,0.0,0.19299619651650032,0.15781155267108815,0.7036928660398772,8.729036168600633,8.308409691550011,8.412529521507283,
4,0.05,0.05,eval_loss_scanpath,8.502354016533722,7.890178302098747,0.0,0.15069000965302476,0.1252545294783424,0.5087095954944549,8.846144515513581,8.421026814320555,8.502354016533722,
5,0.05,0.05,eval_loss_scanpath,8.625898874182242,7.890178302098747,0.0,0.12954283818541937,0.1091854234351715,0.4071482891807292,9.837658293520493,9.406363354172818,8.625898874182242,
6,0.05,0.05,eval_loss_scanpath,8.561035041991262,7.890178302098747,0.0,0.11045933389999778,0.09380589097665822,0.3330688539235045,9.727828530576142,9.299776782328108,8.561035041991262,
7,0.05,0.05,eval_loss_scanpath,8.720356730230623,7.890178302098747,0.0,0.1026524977608293,0.08808014819468736,0.2914469855099139,10.339715208524089,9.903697367225375,8.720356730230623,
8,0.05,0.05,eval_loss_scanpath,8.755608782914786,7.890178302098747,0.0,0.09366803418389401,0.08132671879275448,0.2468263036597434,10.1094062421409,9.671625803475363,8.755608782914786,
9,0.05,0.05,eval_loss_scanpath,8.82538423565931,7.890178302098747,0.0,0.08495877931748841,0.07408013393157573,0.21757290389112932,9.979249863529523,9.537980647578191,8.82538423565931,
10,0.05,0.05,eval_loss_scanpath,8.910757798293105,7.890178302098747,0.0,0.08597755619611218,0.07613809743341653,0.19678917219656833,10.77185653244142,10.326318645992153,8.910757798293105,
11,0.05,0.05,eval_loss_scanpath,9.12863476153624,7.890178302098747,0.0,0.07625978605306655,0.06753133017953801,0.1745691151785527,10.881245265965445,10.424813528690624,9.12863476153624,
12,0.05,0.05,eval_loss_scanpath,9.142123619583359,7.890178302098747,0.0,0.07400550578223276,0.06616188458631722,0.15687242164979506,10.569355624161686,10.112249449440014,9.142123619583359,
13,0.05,0.05,eval_loss_scanpath,9.284480798779136,7.890178302098747,0.0,0.07138305371762228,0.0640274212400013,0.14711264972656005,11.149404926553517,10.685180887431402,9.284480798779136,
14,0.05,0.05,eval_loss_scanpath,9.672050799246247,7.890178302098747,0.0,0.06861274511568413,0.06190670600880105,0.13412078059503765,11.035830803685807,10.552228265822528,9.672050799246247,
15,0.05,0.05,eval_loss_scanpath,9.034402731150092,7.890178302098747,0.0,0.06552543150410448,0.059345145502997985,0.12360571871928944,10.801026621629234,10.349306486175703,9.034402731150092,
16,0.05,0.05,eval_loss_scanpath,9.33816164900298,7.890178302098747,0.0,0.06300883888651133,0.05723589131427426,0.11545895038977476,10.72853346520484,10.261625386749786,9.33816164900298,
17,0.05,0.05,eval_loss_scanpath,9.7084403361791,7.890178302098747,0.0,0.06489520702833058,0.05936670696400287,0.1105700004838967,11.07657057502341,10.591148544585586,9.7084403361791,
18,0.05,0.05,eval_loss_scanpath,9.38506641419623,7.890178302098747,0.0,0.06049971708689082,0.05541194314128294,0.10175547773606722,10.842019236959096,10.372765917714649,9.38506641419623,
19,0.05,0.05,eval_loss_scanpath,9.54340055149259,7.890178302098747,0.0,0.0563431009363954,0.05156414438658297,0.0955791294635514,11.106535651161028,10.62936562458146,9.54340055149259,
20,0.05,0.05,eval_loss_scanpath,9.473491853257746,7.890178302098747,0.0,0.05719018162803882,0.052530276103161,0.09319810803451897,10.963458979050582,10.489784374882612,9.473491853257746,
