cuento,archivo,n_original,n_conservados,n_eliminados,porcentaje_eliminado,min_words_original,max_words_original,mean_words_original,min_words_filtrado,max_words_filtrado,mean_words_filtrado
"Ahora debería reírme, si no estuviera muerto",sub-041.json,37,33,4,10.8108,1,43,18.6486,4,43,20.7576
"Ahora debería reírme, si no estuviera muerto",sub-042.json,37,34,3,8.1081,1,42,19.2162,4,42,20.7647
"Ahora debería reírme, si no estuviera muerto",sub-044.json,34,32,2,5.8824,1,43,20.2941,5,43,21.5
"Ahora debería reírme, si no estuviera muerto",sub-046.json,37,35,2,5.4054,1,43,19.5135,4,43,20.5714
"Ahora debería reírme, si no estuviera muerto",sub-048.json,34,33,1,2.9412,1,43,20.2059,5,43,20.7879
"Ahora debería reírme, si no estuviera muerto",sub-052.json,55,36,19,34.5455,1,41,13.6727,4,41,20.1389
"Ahora debería reírme, si no estuviera muerto",sub-053.json,39,32,7,17.9487,1,42,17.5128,6,42,21.0312
"Ahora debería reírme, si no estuviera muerto",sub-058.json,44,36,8,18.1818,1,43,16.5909,4,43,19.9167
"Ahora debería reírme, si no estuviera muerto",sub-060.json,43,33,10,23.2558,1,43,16.6744,7,43,21.303
"Ahora debería reírme, si no estuviera muerto",sub-064.json,33,32,1,3.0303,2,43,21.2424,6,43,21.8438
"Ahora debería reírme, si no estuviera muerto",sub-065.json,35,32,3,8.5714,1,43,19.4857,5,43,21.1562
"Ahora debería reírme, si no estuviera muerto",sub-066.json,34,33,1,2.9412,1,43,20.3235,5,43,20.9091
"Ahora debería reírme, si no estuviera muerto",sub-068.json,37,33,4,10.8108,1,43,19.027,6,43,21.0909
"Ahora debería reírme, si no estuviera muerto",sub-070.json,61,43,18,29.5082,1,43,12.8689,4,43,17.7209
"Ahora debería reírme, si no estuviera muerto",sub-073.json,42,37,5,11.9048,1,43,18.3095,4,43,20.5135
"Ahora debería reírme, si no estuviera muerto",sub-078.json,40,34,6,15.0,1,43,17.325,4,43,20.2059
"Ahora debería reírme, si no estuviera muerto",sub-079.json,44,35,9,20.4545,1,43,16.2273,6,43,20
"Ahora debería reírme, si no estuviera muerto",sub-083.json,35,33,2,5.7143,1,43,20.0286,5,43,21.1818
"Ahora debería reírme, si no estuviera muerto",sub-085.json,39,33,6,15.3846,1,43,17.4615,4,43,20.3636
"Ahora debería reírme, si no estuviera muerto",sub-086.json,34,31,3,8.8235,1,42,19.7353,7,42,21.4839
"Ahora debería reírme, si no estuviera muerto",sub-087.json,45,36,9,20.0,1,42,15.3111,4,42,18.8889
"Ahora debería reírme, si no estuviera muerto",sub-088.json,44,38,6,13.6364,1,36,16.5455,4,36,18.9211
"Ahora debería reírme, si no estuviera muerto",sub-089.json,33,32,1,3.0303,1,42,20.6061,5,42,21.2188
"Ahora debería reírme, si no estuviera muerto",sub-091.json,35,32,3,8.5714,1,38,19.1714,4,38,20.875
"Ahora debería reírme, si no estuviera muerto",sub-095.json,45,34,11,24.4444,1,43,15.9333,4,43,20.6471
"Ahora debería reírme, si no estuviera muerto",sub-096.json,38,33,5,13.1579,1,43,18.2632,5,43,20.8788
"Ahora debería reírme, si no estuviera muerto",sub-097.json,40,35,5,12.5,1,43,18,5,43,20.3429
"Ahora debería reírme, si no estuviera muerto",sub-098.json,41,36,5,12.1951,1,43,17.5854,4,43,19.8333
"Ahora debería reírme, si no estuviera muerto",sub-101.json,58,42,16,27.5862,1,43,13.8103,4,43,18.619
"Ahora debería reírme, si no estuviera muerto",sub-103.json,37,33,4,10.8108,1,43,19.4595,5,43,21.6061
"Ahora debería reírme, si no estuviera muerto",sub-105.json,35,32,3,8.5714,1,43,19.4857,4,43,21.1562
"Ahora debería reírme, si no estuviera muerto",sub-107.json,41,36,5,12.1951,1,42,16.8537,5,42,19.0556
"Ahora debería reírme, si no estuviera muerto",sub-109.json,35,33,2,5.7143,1,41,19.5714,5,41,20.697
"Ahora debería reírme, si no estuviera muerto",sub-111.json,39,35,4,10.2564,1,43,17.2308,4,43,19.0857
"Ahora debería reírme, si no estuviera muerto",sub-112.json,35,33,2,5.7143,1,43,19.4571,4,43,20.5455
Buenos Aires,sub-003.json,39,35,4,10.2564,1,49,18,5,49,19.8857
Buenos Aires,sub-006.json,62,36,26,41.9355,1,49,11.2903,4,49,18.5
Buenos Aires,sub-007.json,40,36,4,10.0,1,49,17.7,4,49,19.5278
Buenos Aires,sub-009.json,41,33,8,19.5122,1,49,16.561,4,49,20.0606
Buenos Aires,sub-011.json,87,56,31,35.6322,1,49,11.6207,4,49,17.2679
Buenos Aires,sub-013.json,44,38,6,13.6364,1,49,16.6818,4,49,19.1053
Buenos Aires,sub-016.json,46,35,11,23.913,1,49,16.1087,4,49,20.7429
Buenos Aires,sub-017.json,35,33,2,5.7143,1,49,19.9429,4,49,21.0909
Buenos Aires,sub-018.json,45,37,8,17.7778,1,49,15.8222,4,49,19
Buenos Aires,sub-021.json,39,34,5,12.8205,1,49,18.2051,4,49,20.6176
Buenos Aires,sub-022.json,40,36,4,10.0,1,46,18.05,4,46,19.8889
Buenos Aires,sub-027.json,42,36,6,14.2857,1,48,17.7381,5,48,20.4722
Buenos Aires,sub-030.json,103,55,48,46.6019,1,49,9.7767,4,49,17.1091
Buenos Aires,sub-034.json,53,39,14,26.4151,1,46,14.434,4,46,19.1538
Buenos Aires,sub-035.json,43,34,9,20.9302,1,49,16.7442,4,49,20.8529
Buenos Aires,sub-039.json,41,34,7,17.0732,1,49,17.2195,4,49,20.5
Buenos Aires,sub-048.json,37,34,3,8.1081,1,49,19.3514,5,49,20.9706
Buenos Aires,sub-052.json,67,37,30,44.7761,1,49,11.2836,5,49,19.2973
Buenos Aires,sub-053.json,35,33,2,5.7143,1,49,19.8857,4,49,21.0303
Buenos Aires,sub-054.json,52,30,22,42.3077,1,49,11.9808,4,49,19.6667
Buenos Aires,sub-055.json,48,35,13,27.0833,1,48,14.8125,4,48,19.6571
Buenos Aires,sub-056.json,49,36,13,26.5306,1,49,15.5306,4,49,20.6111
Buenos Aires,sub-058.json,49,36,13,26.5306,1,49,14.6327,4,49,19.4722
Buenos Aires,sub-060.json,39,34,5,12.8205,1,49,18.1282,4,49,20.5882
Buenos Aires,sub-065.json,39,35,4,10.2564,1,49,18.641,5,49,20.6571
Buenos Aires,sub-066.json,43,37,6,13.9535,1,49,16.7209,4,49,19.2432
Buenos Aires,sub-068.json,36,33,3,8.3333,1,49,19.1944,5,49,20.8182
Buenos Aires,sub-070.json,47,35,12,25.5319,1,49,15,4,49,19.6286
Buenos Aires,sub-071.json,45,36,9,20.0,1,48,15.7556,4,48,19.4167
Buenos Aires,sub-073.json,44,34,10,22.7273,1,42,15.6136,4,42,19.8529
Buenos Aires,sub-075.json,42,36,6,14.2857,1,49,17.4524,4,49,20.1389
Buenos Aires,sub-077.json,86,57,29,33.7209,1,48,10.4767,4,48,15.0351
Buenos Aires,sub-078.json,37,34,3,8.1081,1,49,18.5676,4,49,20.1176
Buenos Aires,sub-080.json,41,32,9,21.9512,1,49,16.4878,4,49,20.7812
Buenos Aires,sub-081.json,43,36,7,16.2791,1,49,16.8837,4,49,19.8889
Buenos Aires,sub-083.json,44,32,12,27.2727,1,49,15.75,5,49,21.2188
Buenos Aires,sub-085.json,49,44,5,10.2041,1,49,16.5306,4,49,18.2045
Buenos Aires,sub-086.json,39,32,7,17.9487,1,49,17.9231,5,49,21.5
Buenos Aires,sub-087.json,60,38,22,36.6667,1,49,12.7167,5,49,19.1579
Buenos Aires,sub-090.json,48,40,8,16.6667,1,49,15.125,4,49,17.875
Buenos Aires,sub-091.json,49,38,11,22.449,1,49,15.2449,4,49,19.3158
Buenos Aires,sub-095.json,93,52,41,44.086,1,44,9.6559,4,44,16.2885
Buenos Aires,sub-096.json,39,34,5,12.8205,1,49,17.641,4,49,20.0294
Buenos Aires,sub-097.json,63,46,17,26.9841,1,48,13.2857,4,48,17.6957
Buenos Aires,sub-103.json,45,35,10,22.2222,1,49,16.1111,4,49,20.4
Buenos Aires,sub-106.json,67,42,25,37.3134,1,48,12.7015,4,48,19.2857
Buenos Aires,sub-112.json,44,37,7,15.9091,1,49,15.9773,4,49,18.7838
Cómo funciona caminar en la nieve,sub-003.json,35,35,0,0.0,4,166,34.1143,4,166,34.1143
Cómo funciona caminar en la nieve,sub-007.json,56,46,10,17.8571,1,166,22.9821,4,166,27.6304
Cómo funciona caminar en la nieve,sub-008.json,78,50,28,35.8974,1,165,17.3462,4,165,26.42
Cómo funciona caminar en la nieve,sub-009.json,45,38,7,15.5556,1,166,28.6222,4,166,33.5789
Cómo funciona caminar en la nieve,sub-010.json,47,37,10,21.2766,1,164,25.7872,4,164,32.2973
Cómo funciona caminar en la nieve,sub-011.json,66,46,20,30.303,1,165,20.3333,4,165,28.5435
Cómo funciona caminar en la nieve,sub-013.json,42,36,6,14.2857,1,164,28.6429,5,164,33.2222
Cómo funciona caminar en la nieve,sub-017.json,52,43,9,17.3077,1,165,24.5385,4,165,29.4186
Cómo funciona caminar en la nieve,sub-018.json,37,34,3,8.1081,1,164,31.5946,4,164,34.2059
Cómo funciona caminar en la nieve,sub-022.json,54,46,8,14.8148,1,151,23.6111,4,151,27.5217
Cómo funciona caminar en la nieve,sub-027.json,69,56,13,18.8406,1,166,26.2754,4,166,32.0179
Cómo funciona caminar en la nieve,sub-030.json,125,68,57,45.6,1,165,13.296,4,165,23.25
Cómo funciona caminar en la nieve,sub-034.json,51,38,13,25.4902,1,165,23.1569,4,165,30.6053
Cómo funciona caminar en la nieve,sub-035.json,39,35,4,10.2564,1,165,30.9231,4,165,34.2286
Cómo funciona caminar en la nieve,sub-039.json,40,35,5,12.5,1,166,29.225,5,166,33.2286
Cómo funciona caminar en la nieve,sub-048.json,39,35,4,10.2564,1,165,31.0256,5,165,34.3429
Cómo funciona caminar en la nieve,sub-052.json,62,49,13,20.9677,1,166,22.2258,4,166,27.7143
Cómo funciona caminar en la nieve,sub-053.json,42,40,2,4.7619,1,166,30.9286,4,166,32.4
Cómo funciona caminar en la nieve,sub-054.json,78,57,21,26.9231,0,165,19.359,4,165,26.0526
Cómo funciona caminar en la nieve,sub-055.json,35,35,0,0.0,4,165,33.8286,4,165,33.8286
Cómo funciona caminar en la nieve,sub-056.json,37,36,1,2.7027,1,165,32.1081,5,165,32.9722
Cómo funciona caminar en la nieve,sub-058.json,41,35,6,14.6341,1,165,29.3171,4,165,34
Cómo funciona caminar en la nieve,sub-060.json,42,37,5,11.9048,1,164,29.0714,4,164,32.7838
Cómo funciona caminar en la nieve,sub-065.json,45,36,9,20.0,1,164,26.7778,5,164,33.1111
Cómo funciona caminar en la nieve,sub-066.json,45,35,10,22.2222,1,166,27.3556,4,166,34.7143
Cómo funciona caminar en la nieve,sub-070.json,52,39,13,25.0,1,150,23.4231,4,150,30.7436
Cómo funciona caminar en la nieve,sub-071.json,60,39,21,35.0,1,162,21.8333,5,162,32.8462
Cómo funciona caminar en la nieve,sub-073.json,48,40,8,16.6667,1,165,25.9792,4,165,30.85
Cómo funciona caminar en la nieve,sub-077.json,136,78,58,42.6471,1,164,13.7721,4,164,22.9231
Cómo funciona caminar en la nieve,sub-078.json,39,34,5,12.8205,1,165,30.4103,5,165,34.6765
Cómo funciona caminar en la nieve,sub-080.json,43,35,8,18.6047,1,166,27.186,5,166,33.1143
Cómo funciona caminar en la nieve,sub-081.json,41,36,5,12.1951,1,165,29.6341,4,165,33.5556
Cómo funciona caminar en la nieve,sub-083.json,39,35,4,10.2564,1,164,30.7436,4,164,34.0571
Cómo funciona caminar en la nieve,sub-085.json,49,43,6,12.2449,1,165,26.2857,5,165,29.6744
Cómo funciona caminar en la nieve,sub-086.json,43,34,9,20.9302,1,165,25.0465,4,165,31.3824
Cómo funciona caminar en la nieve,sub-087.json,61,42,19,31.1475,1,165,21.1311,4,165,30.0952
Cómo funciona caminar en la nieve,sub-091.json,41,40,1,2.439,2,165,29.3902,4,165,30.075
Cómo funciona caminar en la nieve,sub-096.json,42,39,3,7.1429,1,166,29.3095,4,166,31.4359
Cómo funciona caminar en la nieve,sub-097.json,61,46,15,24.5902,1,164,21.2295,4,164,27.7174
Cómo funciona caminar en la nieve,sub-100.json,50,38,12,24.0,1,165,24.62,4,165,31.9474
Cómo funciona caminar en la nieve,sub-103.json,54,39,15,27.7778,1,165,23.4074,4,165,31.9744
Cómo funciona caminar en la nieve,sub-105.json,45,39,6,13.3333,1,165,26.6444,4,165,30.5128
Cómo funciona caminar en la nieve,sub-109.json,43,37,6,13.9535,1,164,28.4419,4,164,32.8378
Cómo funciona caminar en la nieve,sub-111.json,41,40,1,2.439,3,165,29.7561,4,165,30.425
Cómo funciona caminar en la nieve,sub-112.json,39,37,2,5.1282,1,165,31.0256,4,165,32.5946
Cómo funcionan los bolsillos,sub-003.json,52,44,8,15.3846,1,64,21.4231,6,64,25.1364
Cómo funcionan los bolsillos,sub-006.json,48,42,6,12.5,1,63,20.75,4,63,23.5238
Cómo funcionan los bolsillos,sub-007.json,53,48,5,9.434,1,63,22.0566,7,63,24.2083
Cómo funcionan los bolsillos,sub-008.json,138,74,64,46.3768,1,64,9.1812,4,64,16.0811
Cómo funcionan los bolsillos,sub-009.json,46,44,2,4.3478,1,64,23.413,7,64,24.4318
Cómo funcionan los bolsillos,sub-010.json,57,45,12,21.0526,1,59,18.9825,4,59,23.6667
Cómo funcionan los bolsillos,sub-011.json,78,59,19,24.359,1,62,16.0256,4,62,20.678
Cómo funcionan los bolsillos,sub-013.json,58,53,5,8.6207,1,63,20.7759,6,63,22.6038
Cómo funcionan los bolsillos,sub-017.json,48,43,5,10.4167,1,64,23.2292,7,64,25.7674
Cómo funcionan los bolsillos,sub-018.json,54,46,8,14.8148,1,61,20.2778,6,61,23.587
Cómo funcionan los bolsillos,sub-022.json,59,47,12,20.339,1,63,19,4,63,23.5319
Cómo funcionan los bolsillos,sub-027.json,68,58,10,14.7059,1,64,19.1176,5,64,22.2241
Cómo funcionan los bolsillos,sub-030.json,87,62,25,28.7356,1,64,15.4483,4,64,21.2097
Cómo funcionan los bolsillos,sub-034.json,70,52,18,25.7143,1,63,17.7857,4,63,23.4423
Cómo funcionan los bolsillos,sub-035.json,52,45,7,13.4615,1,64,21.2885,6,64,24.4222
Cómo funcionan los bolsillos,sub-048.json,49,46,3,6.1224,1,64,23.1429,4,64,24.5652
Cómo funcionan los bolsillos,sub-052.json,79,56,23,29.1139,1,64,16.3165,4,64,22.3393
Cómo funcionan los bolsillos,sub-053.json,52,45,7,13.4615,1,61,21.8077,4,61,25.0444
Cómo funcionan los bolsillos,sub-054.json,57,49,8,14.0351,1,64,20.3158,5,64,23.4694
Cómo funcionan los bolsillos,sub-055.json,46,43,3,6.5217,1,62,23.5652,7,62,25.1395
Cómo funcionan los bolsillos,sub-056.json,57,45,12,21.0526,1,62,20.193,6,62,25.2222
Cómo funcionan los bolsillos,sub-058.json,51,43,8,15.6863,1,62,21.9412,6,62,25.7907
Cómo funcionan los bolsillos,sub-060.json,69,54,15,21.7391,1,64,17.6377,5,64,22.2037
Cómo funcionan los bolsillos,sub-065.json,56,44,12,21.4286,1,63,19.5893,5,63,24.5682
Cómo funcionan los bolsillos,sub-066.json,64,47,17,26.5625,1,63,18.1719,6,63,24.3191
Cómo funcionan los bolsillos,sub-068.json,45,40,5,11.1111,1,57,19.7111,6,57,22.025
Cómo funcionan los bolsillos,sub-070.json,55,48,7,12.7273,1,64,20.7273,4,64,23.5625
Cómo funcionan los bolsillos,sub-071.json,82,54,28,34.1463,1,61,14.5854,4,61,21.4815
Cómo funcionan los bolsillos,sub-073.json,55,46,9,16.3636,1,63,20.5818,6,63,24.3696
Cómo funcionan los bolsillos,sub-077.json,127,81,46,36.2205,1,59,11.2756,4,59,16.9136
Cómo funcionan los bolsillos,sub-078.json,48,43,5,10.4167,1,64,23.1458,7,64,25.6744
Cómo funcionan los bolsillos,sub-080.json,69,54,15,21.7391,1,63,17.2899,4,63,21.7407
Cómo funcionan los bolsillos,sub-081.json,54,43,11,20.3704,1,64,20.5,7,64,25.4186
Cómo funcionan los bolsillos,sub-083.json,58,48,10,17.2414,1,63,19.4138,4,63,23.1458
Cómo funcionan los bolsillos,sub-085.json,73,59,14,19.1781,1,62,16.9452,4,62,20.661
Cómo funcionan los bolsillos,sub-086.json,67,52,15,22.3881,1,63,17.1493,4,63,21.7885
Cómo funcionan los bolsillos,sub-087.json,61,53,8,13.1148,1,64,19.6885,4,64,22.4717
Cómo funcionan los bolsillos,sub-091.json,54,46,8,14.8148,1,63,20.5185,7,63,23.913
Cómo funcionan los bolsillos,sub-096.json,52,43,9,17.3077,1,63,21.4231,8,63,25.6977
Cómo funcionan los bolsillos,sub-097.json,63,50,13,20.6349,1,62,17.9365,5,62,22.24
Cómo funcionan los bolsillos,sub-100.json,82,57,25,30.4878,1,62,14.7805,4,62,20.6842
Cómo funcionan los bolsillos,sub-103.json,64,47,17,26.5625,1,63,17.9688,4,63,24.0213
Cómo funcionan los bolsillos,sub-105.json,46,43,3,6.5217,1,63,23.7609,7,63,25.3488
Cómo funcionan los bolsillos,sub-106.json,71,53,18,25.3521,1,64,17.2394,5,64,22.566
Cómo funcionan los bolsillos,sub-109.json,51,45,6,11.7647,1,63,21.6078,6,63,24.2667
Cómo funcionan los bolsillos,sub-112.json,81,58,23,28.3951,1,62,14.5679,4,62,19.7931
Educar para escalar y bucear,sub-003.json,47,34,13,27.6596,1,70,14.766,4,70,19.8235
Educar para escalar y bucear,sub-006.json,45,36,9,20.0,1,70,15.0222,4,70,18.2222
Educar para escalar y bucear,sub-007.json,40,35,5,12.5,1,70,17.2,4,70,19.3143
Educar para escalar y bucear,sub-008.json,85,48,37,43.5294,1,63,9.5412,4,63,15.8958
Educar para escalar y bucear,sub-009.json,41,37,4,9.7561,1,69,16.3659,4,69,17.9189
Educar para escalar y bucear,sub-010.json,47,37,10,21.2766,1,70,14.5106,4,70,18
Educar para escalar y bucear,sub-011.json,76,51,25,32.8947,1,70,12.0921,4,70,17.1176
Educar para escalar y bucear,sub-013.json,63,45,18,28.5714,1,70,13.3651,4,70,18.0222
Educar para escalar y bucear,sub-017.json,42,36,6,14.2857,1,70,16.8333,4,70,19.3056
Educar para escalar y bucear,sub-018.json,40,35,5,12.5,1,70,16.825,4,70,18.9714
Educar para escalar y bucear,sub-021.json,44,35,9,20.4545,1,70,15.7045,4,70,19.3714
Educar para escalar y bucear,sub-022.json,50,37,13,26.0,1,70,14.08,5,70,18.5135
Educar para escalar y bucear,sub-027.json,56,39,17,30.3571,1,53,13.5357,4,53,18.7436
Educar para escalar y bucear,sub-030.json,72,48,24,33.3333,1,56,11.0139,4,56,15.8125
Educar para escalar y bucear,sub-034.json,47,39,8,17.0213,1,70,16.3191,4,70,19.3846
Educar para escalar y bucear,sub-035.json,46,35,11,23.913,1,70,15.1739,4,70,19.4286
Educar para escalar y bucear,sub-048.json,44,36,8,18.1818,1,70,15.8636,4,70,19
Educar para escalar y bucear,sub-052.json,70,46,24,34.2857,1,70,11.5286,4,70,16.8261
Educar para escalar y bucear,sub-053.json,44,37,7,15.9091,1,70,17.1136,4,70,20
Educar para escalar y bucear,sub-054.json,48,40,8,16.6667,1,54,15.1875,4,54,17.925
Educar para escalar y bucear,sub-055.json,40,34,6,15.0,1,70,17,4,70,19.6176
Educar para escalar y bucear,sub-056.json,56,41,15,26.7857,1,70,13.6071,4,70,18.0732
Educar para escalar y bucear,sub-058.json,44,35,9,20.4545,1,70,15.9091,4,70,19.6286
Educar para escalar y bucear,sub-060.json,62,45,17,27.4194,1,70,12.7742,4,70,16.9778
Educar para escalar y bucear,sub-065.json,44,33,11,25.0,1,70,15.6591,4,70,20.1818
Educar para escalar y bucear,sub-066.json,54,36,18,33.3333,1,70,13.1111,4,70,18.9444
Educar para escalar y bucear,sub-068.json,45,32,13,28.8889,1,70,13.7556,4,70,18.75
Educar para escalar y bucear,sub-070.json,55,40,15,27.2727,1,54,13.7273,4,54,18.35
Educar para escalar y bucear,sub-071.json,57,38,19,33.3333,1,68,12.4211,4,68,17.8947
Educar para escalar y bucear,sub-073.json,52,38,14,26.9231,1,70,13.6154,4,70,18.1316
Educar para escalar y bucear,sub-075.json,58,46,12,20.6897,1,69,14.3966,4,69,17.6739
Educar para escalar y bucear,sub-077.json,104,62,42,40.3846,1,47,9.9808,4,47,15.8065
Educar para escalar y bucear,sub-078.json,41,37,4,9.7561,1,70,17.3659,4,70,19.0541
Educar para escalar y bucear,sub-080.json,65,40,25,38.4615,1,49,10.7692,4,49,16.5
Educar para escalar y bucear,sub-081.json,49,40,9,18.3673,1,69,14.6327,4,69,17.575
Educar para escalar y bucear,sub-083.json,48,41,7,14.5833,1,70,14.75,4,70,17
Educar para escalar y bucear,sub-085.json,87,55,32,36.7816,1,70,11.2529,4,70,16.9091
Educar para escalar y bucear,sub-086.json,47,36,11,23.4043,1,70,14.8085,4,70,18.9444
Educar para escalar y bucear,sub-087.json,70,48,22,31.4286,1,70,11.6571,4,70,16.3125
Educar para escalar y bucear,sub-090.json,57,41,16,28.0702,1,70,12.386,4,70,16.561
Educar para escalar y bucear,sub-091.json,42,37,5,11.9048,1,69,17.1429,4,69,19.1892
Educar para escalar y bucear,sub-096.json,42,34,8,19.0476,1,70,16.619,5,70,20.0588
Educar para escalar y bucear,sub-097.json,51,35,16,31.3725,1,69,13.5882,4,69,19.0571
Educar para escalar y bucear,sub-100.json,55,39,16,29.0909,1,70,13.6909,4,70,18.5128
Educar para escalar y bucear,sub-103.json,48,38,10,20.8333,1,70,14.875,4,70,18.3684
Educar para escalar y bucear,sub-105.json,55,41,14,25.4545,1,53,13.0545,4,53,17.0488
Educar para escalar y bucear,sub-112.json,50,40,10,20.0,1,70,15,4,70,18.325
El almohadón de plumas,sub-001.json,85,56,29,34.1176,1,36,9.2941,4,36,13.2857
El almohadón de plumas,sub-002.json,77,53,24,31.1688,1,37,9.3636,4,37,12.8679
El almohadón de plumas,sub-003.json,69,53,16,23.1884,1,37,10.5507,4,37,13.1509
El almohadón de plumas,sub-006.json,52,46,6,11.5385,1,37,12.1154,4,37,13.4348
El almohadón de plumas,sub-009.json,74,55,19,25.6757,1,37,10.2703,4,37,13.2364
El almohadón de plumas,sub-010.json,58,49,9,15.5172,1,37,11.4138,4,37,13.2041
El almohadón de plumas,sub-012.json,64,43,21,32.8125,1,37,9.9844,4,37,13.7674
El almohadón de plumas,sub-013.json,60,50,10,16.6667,1,37,11.3833,4,37,13.32
El almohadón de plumas,sub-016.json,62,50,12,19.3548,1,38,11.2903,4,38,13.62
El almohadón de plumas,sub-018.json,64,53,11,17.1875,1,37,10.7656,4,37,12.6792
El almohadón de plumas,sub-021.json,58,49,9,15.5172,1,38,11.7931,4,38,13.5918
El almohadón de plumas,sub-024.json,82,54,28,34.1463,1,38,8.9756,4,38,12.8519
El almohadón de plumas,sub-028.json,109,56,53,48.6239,1,35,6.7431,4,35,11.9643
El almohadón de plumas,sub-034.json,67,49,18,26.8657,1,37,10.4478,4,37,13.6327
El almohadón de plumas,sub-036.json,72,55,17,23.6111,1,37,9.4028,4,37,11.8182
El almohadón de plumas,sub-039.json,64,49,15,23.4375,1,36,10.3281,4,36,12.9184
El almohadón de plumas,sub-041.json,67,55,12,17.9104,1,38,10.9552,4,38,12.8909
El almohadón de plumas,sub-042.json,63,51,12,19.0476,1,38,10.8889,4,38,13.0588
El almohadón de plumas,sub-044.json,59,49,10,16.9492,1,38,11.4576,4,38,13.3469
El almohadón de plumas,sub-046.json,82,54,28,34.1463,1,38,8.8659,4,38,12.6111
El almohadón de plumas,sub-048.json,70,55,15,21.4286,1,38,10.4714,4,38,12.8727
El almohadón de plumas,sub-052.json,97,60,37,38.1443,1,37,8.4433,4,37,12.7167
El almohadón de plumas,sub-053.json,61,52,9,14.7541,1,38,11.7705,4,38,13.4808
El almohadón de plumas,sub-054.json,106,62,44,41.5094,1,36,8.1509,4,36,12.7258
El almohadón de plumas,sub-058.json,63,52,11,17.4603,1,38,11.127,4,38,13.0769
El almohadón de plumas,sub-060.json,93,61,32,34.4086,1,37,8.2581,4,37,11.7377
El almohadón de plumas,sub-064.json,70,54,16,22.8571,1,38,10.3143,4,38,12.8889
El almohadón de plumas,sub-065.json,56,47,9,16.0714,1,38,12.1429,4,38,14
El almohadón de plumas,sub-066.json,82,51,31,37.8049,1,37,9.3415,4,37,13.9216
El almohadón de plumas,sub-067.json,100,52,48,48.0,1,33,7.12,4,33,12.3846
El almohadón de plumas,sub-068.json,58,49,9,15.5172,1,37,11.3448,4,37,13.1224
El almohadón de plumas,sub-070.json,133,59,74,55.6391,1,38,5.8346,4,38,11.4915
El almohadón de plumas,sub-075.json,63,49,14,22.2222,1,37,11.0159,4,37,13.6327
El almohadón de plumas,sub-076.json,76,50,26,34.2105,1,37,9.0526,4,37,12.92
El almohadón de plumas,sub-077.json,79,55,24,30.3797,1,36,9.3165,4,36,12.6182
El almohadón de plumas,sub-078.json,66,54,12,18.1818,1,37,10.5606,4,37,12.537
El almohadón de plumas,sub-079.json,76,56,20,26.3158,1,37,9.7105,4,37,12.6607
El almohadón de plumas,sub-082.json,59,49,10,16.9492,1,37,11.4237,4,37,13.4082
El almohadón de plumas,sub-083.json,68,50,18,26.4706,1,38,10.2059,4,38,13.32
El almohadón de plumas,sub-085.json,95,67,28,29.4737,1,38,9.1684,4,38,12.2239
El almohadón de plumas,sub-086.json,67,52,15,22.3881,1,37,10.209,4,37,12.6731
El almohadón de plumas,sub-087.json,82,56,26,31.7073,1,38,9.4024,4,38,13
El almohadón de plumas,sub-088.json,95,61,34,35.7895,1,38,8.5895,4,38,12.541
El almohadón de plumas,sub-089.json,59,49,10,16.9492,1,36,11.0169,4,36,13
El almohadón de plumas,sub-091.json,55,46,9,16.3636,1,38,11.3455,4,38,13.1522
El almohadón de plumas,sub-093.json,71,53,18,25.3521,1,38,10.2535,4,38,13.2642
El almohadón de plumas,sub-095.json,93,61,32,34.4086,1,37,8.5484,4,37,12.2459
El almohadón de plumas,sub-096.json,64,53,11,17.1875,1,38,11.4531,4,38,13.434
El almohadón de plumas,sub-097.json,136,77,59,43.3824,1,37,7.4265,4,37,11.8571
El almohadón de plumas,sub-098.json,60,53,7,11.6667,1,38,11.7167,4,38,13.0189
El almohadón de plumas,sub-101.json,71,56,15,21.1268,1,36,10.6338,4,36,12.9821
El almohadón de plumas,sub-103.json,77,55,22,28.5714,1,37,9.5325,4,37,12.8727
El almohadón de plumas,sub-107.json,75,53,22,29.3333,1,38,9.2133,4,38,12.3774
El almohadón de plumas,sub-109.json,60,51,9,15.0,1,38,11.5667,4,38,13.2353
El almohadón de plumas,sub-111.json,64,51,13,20.3125,1,37,10.3438,4,37,12.6667
El almohadón de plumas,sub-112.json,56,51,5,8.9286,1,38,11.9286,4,38,12.9216
El espejo,sub-001.json,71,52,19,26.7606,1,34,10.7465,4,34,14.0577
El espejo,sub-002.json,86,59,27,31.3953,1,35,9.9884,4,35,13.7966
El espejo,sub-003.json,63,48,15,23.8095,1,34,12,4,34,15.1458
El espejo,sub-006.json,59,49,10,16.9492,1,34,12.1356,4,34,14.1837
El espejo,sub-009.json,61,49,12,19.6721,1,35,11.8033,4,35,14.2245
El espejo,sub-010.json,59,47,12,20.339,1,35,11.9661,4,35,14.4255
El espejo,sub-012.json,86,48,38,44.186,1,34,8.2209,4,34,13.5
El espejo,sub-013.json,77,55,22,28.5714,1,33,10.4805,4,33,14.0182
El espejo,sub-016.json,85,58,27,31.7647,1,35,9.6824,4,35,13.5172
El espejo,sub-018.json,73,55,18,24.6575,1,34,11.4521,4,34,14.4909
El espejo,sub-021.json,61,48,13,21.3115,1,34,11.9344,4,34,14.5833
