cuento,archivo,n_original,n_conservados,n_eliminados,porcentaje_eliminado,min_words_original,max_words_original,mean_words_original,min_words_filtrado,max_words_filtrado,mean_words_filtrado
Rubí y el lago danzante,sub-021.json,55,45,10,18.1818,1,49,14.0182,4,49,16.7111
Rubí y el lago danzante,sub-024.json,52,43,9,17.3077,1,50,14.5962,6,50,17.2093
Rubí y el lago danzante,sub-028.json,93,47,46,49.4624,1,39,8.1828,4,39,14.8936
Rubí y el lago danzante,sub-034.json,64,49,15,23.4375,1,50,12.5469,4,50,15.9592
Rubí y el lago danzante,sub-036.json,73,50,23,31.5068,1,38,10.2192,4,38,14.28
Rubí y el lago danzante,sub-039.json,53,45,8,15.0943,1,50,14.1698,4,50,16.3778
Rubí y el lago danzante,sub-041.json,47,43,4,8.5106,1,49,15.5106,5,49,16.7674
Rubí y el lago danzante,sub-042.json,64,47,17,26.5625,1,49,11.9844,4,49,15.7872
Rubí y el lago danzante,sub-044.json,55,42,13,23.6364,1,49,13.3455,5,49,17.0238
Rubí y el lago danzante,sub-048.json,59,43,16,27.1186,1,50,11.8305,4,50,15.6512
Rubí y el lago danzante,sub-052.json,76,51,25,32.8947,1,50,11.3816,4,50,16.2353
Rubí y el lago danzante,sub-053.json,52,43,9,17.3077,1,50,14.5,4,50,17.2558
Rubí y el lago danzante,sub-054.json,79,46,33,41.7722,1,35,9.7342,5,35,15.7826
Rubí y el lago danzante,sub-058.json,59,47,12,20.339,1,50,13.1695,4,50,16.0851
Rubí y el lago danzante,sub-060.json,53,44,9,16.9811,1,50,14.0755,5,50,16.6364
Rubí y el lago danzante,sub-064.json,69,52,17,24.6377,1,50,12.4783,5,50,16.0192
Rubí y el lago danzante,sub-065.json,51,44,7,13.7255,1,50,15.2157,5,50,17.3409
Rubí y el lago danzante,sub-066.json,53,42,11,20.7547,1,50,13.8679,5,50,17.1429
Rubí y el lago danzante,sub-068.json,55,44,11,20.0,1,50,13.6,4,50,16.5
Rubí y el lago danzante,sub-070.json,118,59,59,50.0,1,50,7.3475,4,50,13.4576
Rubí y el lago danzante,sub-073.json,49,41,8,16.3265,1,50,14.6327,4,50,17.0976
Rubí y el lago danzante,sub-075.json,54,45,9,16.6667,1,50,14.1296,5,50,16.5778
Rubí y el lago danzante,sub-077.json,124,86,38,30.6452,1,49,9.7177,4,49,13.2674
Rubí y el lago danzante,sub-078.json,58,46,12,20.6897,1,44,13.069,4,44,16.0435
Rubí y el lago danzante,sub-079.json,63,49,14,22.2222,1,50,11.6984,4,50,14.6531
Rubí y el lago danzante,sub-082.json,51,43,8,15.6863,1,50,14.8627,5,50,17.3023
Rubí y el lago danzante,sub-083.json,52,43,9,17.3077,1,50,14.1731,5,50,16.814
Rubí y el lago danzante,sub-085.json,59,47,12,20.339,1,50,12.8475,4,50,15.766
Rubí y el lago danzante,sub-086.json,61,45,16,26.2295,1,49,12.4426,4,49,16.3556
Rubí y el lago danzante,sub-087.json,63,48,15,23.8095,1,50,12.2381,4,50,15.5833
Rubí y el lago danzante,sub-088.json,123,64,59,47.9675,1,48,7.8943,4,48,13.7812
Rubí y el lago danzante,sub-089.json,52,44,8,15.3846,1,50,14.0577,4,50,16.2955
Rubí y el lago danzante,sub-091.json,74,50,24,32.4324,1,48,11.1486,4,48,15.74
Rubí y el lago danzante,sub-093.json,75,52,23,30.6667,1,42,10.4,4,42,14.3654
Rubí y el lago danzante,sub-094.json,65,51,14,21.5385,1,50,13.1692,4,50,16.2941
Rubí y el lago danzante,sub-095.json,78,54,24,30.7692,1,50,10.9615,4,50,15.2037
Rubí y el lago danzante,sub-097.json,70,51,19,27.1429,1,50,11.4714,4,50,15.1569
Rubí y el lago danzante,sub-098.json,55,44,11,20.0,1,50,13.7636,4,50,16.8636
Rubí y el lago danzante,sub-101.json,72,53,19,26.3889,1,50,11.7639,4,50,15.3585
Rubí y el lago danzante,sub-103.json,60,47,13,21.6667,1,50,12.8333,4,50,15.9787
Rubí y el lago danzante,sub-105.json,64,49,15,23.4375,1,44,12.3438,5,44,15.6122
