rank,token,count,relative_frequency
182,espejo,553,0.0007351357674790825
183,cuatro,551,0.0007324770486093571
184,alicia,547,0.0007271596108699062
185,tía,546,0.0007258302514350435
186,madre,545,0.0007245008920001807
187,trac,542,0.0007205128136955927
188,o,526,0.0006992430627377891
189,padre,526,0.0006992430627377891
190,contra,525,0.0006979137033029264
191,pronto,523,0.000695254984433201
192,terminó,520,0.0006912669061286128
193,parece,520,0.0006912669061286128
194,muerto,519,0.0006899375466937501
195,hubo,517,0.0006872788278240248
196,muerte,516,0.000685949468389162
197,idiotas,512,0.0006806320306497111
198,mujeres,509,0.000676643952345123
199,mazzini,508,0.0006753145929102603
200,instante,507,0.0006739852334753975
201,perro,506,0.0006726558740405348
202,preguntó,504,0.0006699971551708094
203,daba,500,0.0006646797174313585
204,vio,500,0.0006646797174313585
205,ser,497,0.0006606916391267704
206,hacía,496,0.0006593622796919077
207,lado,494,0.0006567035608221822
208,días,494,0.0006567035608221822
209,sabía,494,0.0006567035608221822
210,siquiera,492,0.0006540448419524568
211,medio,488,0.0006487274042130059
212,forma,486,0.0006460686853432805
213,ropa,483,0.0006420806070386924
214,pudo,483,0.0006420806070386924
215,saber,482,0.0006407512476038296
216,apenas,481,0.0006394218881689669
217,adentro,478,0.0006354338098643787
218,fotógrafo,478,0.0006354338098643787
219,llegar,476,0.0006327750909946534
220,cosa,475,0.0006314457315597906
221,mis,475,0.0006314457315597906
222,última,472,0.0006274576532552024
223,hora,466,0.0006194814966460261
224,tampoco,464,0.0006168227777763007
225,hace,462,0.0006141640589065753
226,habitaciones,460,0.0006115053400368498
227,algunos,459,0.0006101759806019871
228,todavía,459,0.0006101759806019871
229,mirar,457,0.0006075172617322616
230,además,453,0.0006021998239928108
231,calle,453,0.0006021998239928108
232,segundo,453,0.0006021998239928108
233,hombres,452,0.0006008704645579481
234,atención,450,0.0005982117456882227
235,imbécil,448,0.0005955530268184973
236,quizá,447,0.0005942236673836345
237,manos,445,0.0005915649485139091
238,finalmente,445,0.0005915649485139091
239,frente,438,0.00058225943246987
240,fuerte,435,0.000578271354165282
241,siglo,435,0.000578271354165282
242,unas,434,0.0005769419947304192
243,toda,433,0.0005756126352955565
244,pobre,433,0.0005756126352955565
245,igual,433,0.0005756126352955565
246,decir,432,0.0005742832758606937
247,poder,432,0.0005742832758606937
248,embargo,430,0.0005716245569909683
249,volvieron,430,0.0005716245569909683
250,próspero,430,0.0005716245569909683
251,agua,429,0.0005702951975561057
252,cualquier,426,0.0005663071192515175
253,hay,424,0.000563648400381792
254,cómo,423,0.0005623190409469293
255,quién,421,0.0005596603220772039
256,ideas,420,0.0005583309626423412
257,árboles,419,0.0005570016032074784
258,ciudad,419,0.0005570016032074784
259,junto,418,0.0005556722437726157
260,pensar,416,0.0005530135249028903
261,piso,416,0.0005530135249028903
262,manera,415,0.0005516841654680276
263,pensamiento,415,0.0005516841654680276
264,quería,415,0.0005516841654680276
265,bertita,411,0.0005463667277285767
266,seguía,410,0.000545037368293714
267,podían,408,0.0005423786494239886
268,iba,407,0.0005410492899891259
269,idea,407,0.0005410492899891259
270,completamente,406,0.0005397199305542631
271,empezaron,403,0.0005357318522496749
272,muchas,403,0.0005357318522496749
273,llegaba,402,0.0005344024928148123
274,siete,402,0.0005344024928148123
275,podemos,401,0.0005330731333799496
276,tapial,401,0.0005330731333799496
277,fuera,399,0.0005304144145102241
278,sino,399,0.0005304144145102241
279,aquella,399,0.0005304144145102241
280,salía,397,0.0005277556956404986
281,linterna,397,0.0005277556956404986
282,nuestras,395,0.0005250969767707733
283,levantó,392,0.0005211088984661851
284,pasado,389,0.000517120820161597
285,alguna,386,0.0005131327418570088
286,estamos,385,0.000511803382422146
287,capitán,383,0.0005091446635524206
288,dice,381,0.0005064859446826952
289,pensando,380,0.0005051565852478325
290,lejos,380,0.0005051565852478325
291,sido,380,0.0005051565852478325
292,dormir,380,0.0005051565852478325
293,médico,379,0.0005038272258129698
294,capataz,378,0.000502497866378107
295,puso,377,0.0005011685069432443
296,cuanto,377,0.0005011685069432443
297,entró,376,0.0004998391475083816
298,cuarto,375,0.0004985097880735189
299,usted,375,0.0004985097880735189
300,funcionario,375,0.0004985097880735189
301,cielo,373,0.0004958510692037935
302,llevaron,372,0.0004945217097689307
303,explicación,371,0.000493192350334068
304,ningún,371,0.000493192350334068
305,música,370,0.0004918629908992053
306,mayor,369,0.0004905336314643425
307,hablaba,369,0.0004905336314643425
308,pasaron,369,0.0004905336314643425
309,este,368,0.0004892042720294799
310,dio,368,0.0004892042720294799
311,churchill,367,0.0004878749125946172
312,naturaleza,366,0.00048654555315975445
313,hijo,364,0.000483886834290029
314,encontrar,363,0.0004825574748551663
315,siguió,363,0.0004825574748551663
316,patineta,363,0.0004825574748551663
317,cobre,363,0.0004825574748551663
318,aparece,362,0.00048122811542030357
319,bolsillo,361,0.00047989875598544084
320,terminaba,360,0.00047856939655057816
321,tomar,360,0.00047856939655057816
322,viento,360,0.00047856939655057816
323,misma,357,0.00047458131824598996
324,alegría,356,0.0004732519588111273
325,esos,356,0.0004732519588111273
326,historia,356,0.0004732519588111273
327,mamá,356,0.0004732519588111273
328,nuestro,355,0.00047192259937626455
329,pensaba,354,0.0004705932399414018
330,recién,354,0.0004705932399414018
331,atrás,354,0.0004705932399414018
332,decidido,353,0.00046926388050653914
333,celia,353,0.00046926388050653914
334,mejor,352,0.0004679345210716764
335,quizás,352,0.0004679345210716764
336,bajo,351,0.00046660516163681367
337,volver,349,0.00046394644276708826
338,sintió,348,0.0004626170833322255
339,raro,344,0.00045729964559277465
340,nombre,344,0.00045729964559277465
341,ante,343,0.00045597028615791197
342,pasaba,341,0.0004533115672881865
343,incluso,341,0.0004533115672881865
