epoch,split,loss_total_mean,loss_standard_mean,loss_scanpath_mean,augweight,num_batches
1,train,7.302682042121887,6.951346278190613,7.026716947555542,0.05,4
1,eval,7.244010766347249,6.894452095031738,6.99117390314738,0.05,3
2,train,7.0424230098724365,6.693441987037659,6.979621171951294,0.05,4
2,eval,7.155445416768392,6.808757146199544,6.933764934539795,0.05,3
3,train,6.866582870483398,6.4996984004974365,6.920250177383423,0.05301607410403578,4
3,eval,7.039289156595866,6.675565401713054,6.860629081726074,0.05301607410403578,3
