epoch,split,loss_total_mean,loss_standard_mean,loss_scanpath_mean,augweight,num_batches
1,train,1.102442471063304,0.8228425512084946,5.591998308952724,0.05,4815
1,eval,5.428888429636971,5.031930002510745,7.939168575198152,0.05,1204
2,train,0.40334547957945094,0.288038454587291,2.306140461115327,0.05,4815
2,eval,6.429268560338258,6.017086942330548,8.243632135003113,0.05,1204
3,train,0.2404727311635647,0.17607401620452126,1.2879742798388685,0.05,4815
3,eval,7.3351436002904,6.903715449017148,8.628563228041626,0.05,1204
4,train,0.17393507037518752,0.13312124596936917,0.816276473595315,0.05,4815
4,eval,8.091380074273708,7.649940812211496,8.828785307581638,0.05,1204
5,train,0.1463924932221061,0.11726325517426167,0.582584753865231,0.05,4815
5,eval,8.233613407691056,7.801577650827427,8.640715165589736,0.05,1204
6,train,0.13729150243135418,0.11471797724378853,0.45147050033117475,0.05,4815
6,eval,8.683423860722602,8.252896689299334,8.61054345153495,0.05,1204
7,train,0.10526156676222952,0.08795744865588483,0.34608235486685407,0.05,4815
7,eval,8.619750840521334,8.178812538072517,8.818766231948752,0.05,1204
8,train,0.09949232457870659,0.0854087016333032,0.28167245174832606,0.05,4815
8,eval,9.500094970991444,9.038140337728583,9.239092701891332,0.05,1204
