epoch,lambda_scanpath_t,lambda_scanpath_next,metric_used_for_update,current_scanpath_loss_for_update,initial_scanpath_loss,progress,train_loss_total_mean,train_loss_mlm_mean,train_loss_scanpath_mean,eval_loss_total_mean,eval_loss_mlm_mean,eval_loss_scanpath_mean,warning
1,0.05,0.05,eval_loss_scanpath,7.939168575198152,7.939168575198152,0.0,1.102442471063304,0.8228425512084946,5.591998308952724,5.428888429636971,5.031930002510745,7.939168575198152,warmup activo: epoch 1 <= scanpath_weight_warmup_epochs=1; lambda_next queda en scanpath_weight_min.
2,0.05,0.05,eval_loss_scanpath,8.243632135003113,7.939168575198152,0.0,0.40334547957945094,0.288038454587291,2.306140461115327,6.429268560338258,6.017086942330548,8.243632135003113,
3,0.05,0.05,eval_loss_scanpath,8.628563228041626,7.939168575198152,0.0,0.2404727311635647,0.17607401620452126,1.2879742798388685,7.3351436002904,6.903715449017148,8.628563228041626,
4,0.05,0.05,eval_loss_scanpath,8.828785307581638,7.939168575198152,0.0,0.17393507037518752,0.13312124596936917,0.816276473595315,8.091380074273708,7.649940812211496,8.828785307581638,
5,0.05,0.05,eval_loss_scanpath,8.640715165589736,7.939168575198152,0.0,0.1463924932221061,0.11726325517426167,0.582584753865231,8.233613407691056,7.801577650827427,8.640715165589736,
6,0.05,0.05,eval_loss_scanpath,8.61054345153495,7.939168575198152,0.0,0.13729150243135418,0.11471797724378853,0.45147050033117475,8.683423860722602,8.252896689299334,8.61054345153495,
7,0.05,0.05,eval_loss_scanpath,8.818766231948752,7.939168575198152,0.0,0.10526156676222952,0.08795744865588483,0.34608235486685407,8.619750840521334,8.178812538072517,8.818766231948752,
8,0.05,0.05,eval_loss_scanpath,9.239092701891332,7.939168575198152,0.0,0.09949232457870659,0.0854087016333032,0.28167245174832606,9.500094970991444,9.038140337728583,9.239092701891332,
