epoch,split,loss_total_mean,loss_standard_mean,loss_scanpath_mean,augweight,num_batches
1,train,0.8267776749906278,0.8267776749906278,nan,nan,4815
1,eval,4.9788826240158555,4.9788826240158555,nan,nan,1204
2,train,0.29668549307111747,0.29668549307111747,nan,nan,4815
2,eval,6.394082255240691,6.394082255240691,nan,nan,1204
3,train,0.17024967228456245,0.17024967228456245,nan,nan,4815
3,eval,7.017541186952116,7.017541186952116,nan,nan,1204
4,train,0.13792527904446303,0.13792527904446303,nan,nan,4815
4,eval,7.813778250914475,7.813778250914475,nan,nan,1204
5,train,0.1283141461532034,0.1283141461532034,nan,nan,4815
5,eval,7.832674383919104,7.832674383919104,nan,nan,1204
6,train,0.10901136387239654,0.10901136387239654,nan,nan,4815
6,eval,8.112396645585564,8.112396645585564,nan,nan,1204
7,train,0.09841113261174725,0.09841113261174725,nan,nan,4815
7,eval,8.678917790568152,8.678917790568152,nan,nan,1204
8,train,0.09720307743903439,0.09720307743903439,nan,nan,4815
8,eval,9.188782507002948,9.188782507002948,nan,nan,1204
